Doctor_ID,Doctor_Name,Hospital,Region
DR-129564,Wendy Bowman,Ho Group,us-central
DR-251564,Dr. Nathaniel Berry,Oneill Group,us-central
DR-388782,Kayla Mejia,"Clark, Larsen and Brown",us-central
DR-997547,Brandon Lam,Goodman Ltd,us-central
DR-138690,Matthew Church,"Wall, Robinson and Martin",us-west
DR-782281,Diana Hamilton,"Li, Vargas and Santana",us-west
DR-871990,Nancy Olsen,Conner-Lee,us-central
DR-626653,Curtis Sullivan,Bowman PLC,us-central
DR-760290,Timothy Brown,Snyder PLC,us-west
DR-416472,Michael Velez,Perez Inc,us-west
DR-148171,Deborah Briggs,Reed-Smith,us-central
DR-467587,Richard Navarro,Spencer PLC,us-central
DR-924577,Christopher Jackson,Valdez Ltd,us-west
DR-965886,Eric Madden,Wilson PLC,us-west
DR-486221,Nancy Lewis,Curtis-Santiago,us-central
DR-971721,Tammie Douglas,"Miller, Sullivan and Dean",us-west
DR-615679,Lauren Williams,Molina-Smith,us-west
DR-751870,Samuel Hutchinson,"Smith, Anderson and Brown",us-central
DR-295491,Patricia Mitchell,Floyd Group,us-west
DR-622611,Tracey Torres,Day-Smith,us-west
DR-727661,Lindsay Gonzalez,Wilson and Sons,us-central
DR-113013,Eric Diaz,"Morgan, Ruiz and Guerrero",us-west
DR-261946,Michael Maddox,Clements-Green,us-central
DR-840579,Nicholas Williamson,"Gibbs, Jones and Fox",us-west
DR-150908,Brenda Day,Lewis Ltd,us-central
DR-363451,Thomas Simmons,Mack PLC,us-west
DR-966818,Diane Maxwell,"White, Porter and Clark",us-west
DR-727645,Jeremy Caldwell,Rose-Mckinney,us-central
DR-720937,Thomas Davis,Salazar-Bell,us-west
DR-779504,Antonio Campbell,Nelson-Nguyen,us-west
DR-550751,Frank Bryant,Rodriguez-Weber,us-west
DR-331704,Mathew Villarreal,Eaton LLC,us-west
DR-165976,Ann Pearson,Ryan-Jarvis,us-central
DR-108404,Amy Guerra,Morton and Sons,us-central
DR-153809,Jessica Ramirez,Lane Inc,us-west
DR-244235,Andrew Luna,Dixon LLC,us-west
DR-104316,James Hall,"Martin, Foster and Smith",us-central
DR-116018,Anthony Baird III,Roman Inc,us-west
DR-593098,Gabriela Daniels,Gomez-Morris,us-central
DR-313592,Darius Lam,Adams-Davis,us-west
DR-580665,Omar Green,Morris LLC,us-west
DR-685864,Anna Zamora,"Ruiz, Brown and Beasley",us-west
DR-978480,Dominic Horton,Contreras and Sons,us-west
DR-972040,Cynthia Knight,"Taylor, Rhodes and Haley",us-west
DR-585919,Daniel Thornton,Cooley Inc,us-west
DR-819316,Mrs. Melissa Harris,"Avery, Bullock and Lee",us-central
DR-865658,Steve James,Barr-Watkins,us-west
DR-468304,Shelly Collins,Wallace Ltd,us-west
DR-755312,Misty Daniels,Gonzales PLC,us-central
DR-930471,Kimberly Williams,Knight PLC,us-west
DR-331759,Tammy Davis,Singh PLC,us-central
DR-599143,Samantha Solis,"Wilson, Barker and Hernandez",us-central
DR-822931,Melissa Bender,Rodgers Group,us-west
DR-349299,Sarah Wilkins,Bennett-Nelson,us-central
DR-533520,Corey Parker,"Green, Strickland and Moore",us-central
DR-279064,Michael Cooper,White Inc,us-west
DR-725091,Julie Hall,Grant Ltd,us-west
DR-795762,Rachel Johnson,Luna-Gonzalez,us-central
DR-189899,Kelly Nguyen,"Richard, Barrett and Lee",us-central
DR-665818,Cynthia French,Erickson-Fisher,us-west
DR-521261,Douglas Flowers,"Wilson, Murray and Walker",us-central
